English	Japanese
1	1年
1 (number)	1
10	10年
10 (number)	10
100	100年
100	Category:100年
100 (number)	100
1000	1000年
1000	Category:1000年
1000 (number)	1000
101	101年
105	105年
11	11年
11 (number)	11
110	110年
115	115年
12	12年
12	Category:12年
12 (number)	12
120	120年
125	125年
13	13年
13 (number)	13
130	130年
135	135年
14	14年
14	Category:14年
14 (number)	14
140	140年
144	144年
145	145年
15	15年
15 (number)	15
150	150年
1530s	1530年代
155	155年
16	16年
16	Category:16年
16 (number)	16
160	160年
165	165年
17	17年
17	Category:17年
17 (number)	17
170	170年
1728	1728年
1728	Category:1728年
175	175年
1750s	1750年代
1750s	Category:1750年代
1760s	1760年代
1760s	Category:1760年代
1770s	1770年代
1770s	Category:1770年代
1780s	1780年代
1780s	Category:1780年代
1790s	1790年代
1790s	Category:1790年代
18	18年
18 (number)	18
180	180年
1820s	1820年代
1820s	Category:1820年代
1830s	1830年代
1830s	Category:1830年代
1840s	1840年代
1840s	Category:1840年代
1850s	1850年代
1860s	1860年代
1860s	Category:1860年代
1870s	1870年代
1870s	Category:1870年代
1880s	1880年代
1880s	Category:1880年代
1890s	1890年代
1890s	Category:1890年代
19	19年
19 (number)	19
190	190年
1900s	1900年代
1900s	Category:1900年代
1920s	1920年代
1920s	Category:1920年代
1930s	1930年代
1930s	Category:1930年代
1940s	1940年代
1940s	Category:1940年代
1950s	1950年代
1950s	Category:1950年代
1960s	1960年代
1960s	Category:1960年代
1970s	1970年代
1970s	Category:1970年代
1980s	1980年代
1980s	Category:1980年代
1990s	1990年代
1990s	Category:1990年代
2	2年
2 (number)	2
20	20年
20 (number)	20
200	200年
21	21年
21 (number)	21
22	22年
22 (number)	22
23	23年
23 (number)	23
24	24年
24 (TV series)	24 -TWENTY FOUR-
24 (number)	24
25	25年
25 (number)	25
26	26年
26 (number)	26
27	27年
27 (number)	27
28	28年
28 (number)	28
29	29年
29 (number)	29
3	3年
3 (number)	3
30	30年
30 (number)	30
300	300年
31	31年
31 (number)	31
32	32年
32 (number)	32
33	33年
33 (number)	33
34	34年
34 (number)	34
35	35年
35 (number)	35
36	36年
36 (number)	36
37	37年
37 (number)	37
38	38年
38 (number)	38
39	39年
39 (number)	39
4	4年
4 (number)	4
40	40年
40 (number)	40
400	400年
41	41年
41 (number)	41
42	42年
42 (number)	42
43	43年
43 (number)	43
44	44年
45	45年
45 (number)	45
46	46年
46 (number)	46
47	47年
48	48年
49	49年
49 (number)	49
5	5年
5 (number)	5
50	50年
50 (number)	50
500	500年
500	Category:500年
51	51年
52	52年
53	53年
54	54年
55	55年
56	56年
57	57年
58	58年
59	59年
6	6年
6 (number)	6
60	60年
60 (number)	60
61	61年
62	62年
63	63年
64	64年
65	65年
66	66年
67	67年
68	68年
69	69年
7	7年
7 (number)	7
70	70年
71	71年
72	72年
73	73年
74	74年
75	75年
76	76年
77	77年
78	78年
79	79年
8	8年
8 (number)	8
80	80年
80 (number)	80
81	81年
82	82年
83	83年
84	84年
85	85年
86	86年
87	87年
88	88年
89	89年
9	9年
9 (number)	9
90	90年
91	91年
92	92年
93	93年
94	94年
95	95年
96	96年
97	97年
98	98年
99	99年
A	A
A (Cyrillic)	А
A cappella	ア・カペラ
ABC	ABC
AIDS	後天性免疫不全症候群
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZアルクマール
Aachen	アーヘン
Aalborg	オールボー
Aar	アーレ川
Aardvark	ツチブタ
Aarhus	オーフス
Aaron	アロン
Abacus	そろばん
Abadan	アーバーダーン
Abbot	修道院長
Abbreviation	略語
Abdomen	腹
Abel Tasman	アベル・タスマン
Abelian group	アーベル群
Aberdeen	アバディーン
Abidjan	アビジャン
Abkhazia	アブハジア
Abkhazia	Category:アブハジア
Abolitionism	奴隷制度廃止運動
Abortion	人工妊娠中絶
Abraham	アブラハム
Abraham Lincoln	エイブラハム・リンカーン
Absinthe	アブサン
Absolute magnitude	絶対等級
Absolute value	絶対値
Absolute zero	絶対零度
Abstract art	抽象絵画
Abstract expressionism	抽象表現主義
Abstraction	抽象化
Abu Dhabi	アブダビ
Abu Dhabi (emirate)	アブダビ
Abuja	アブジャ
Acacia	アカシア
Academy Award	アカデミー賞
Acapulco	アカプルコ
Acceleration	加速度
Accipitridae	タカ科 (Sibley)
Accordion	アコーディオン
Accountancy	会計
Accountancy	Category:会計
Accra	アクラ
Accusative case	対格
Acetaldehyde	アセトアルデヒド
Acetic acid	酢酸
Acetone	アセトン
Acetylcholine	アセチルコリン
Acetylene	アセチレン
Acheron	アケロン川
Achillea millefolium	セイヨウノコギリソウ
Achilles	アキレウス
Acid	酸
Acid rain	酸性雨
Acne vulgaris	ニキビ
Aconcagua	アコンカグア
Acorn	ドングリ
Acoustics	音響学
Acre	エーカー
Acre	アッコ
Acre (state)	アクレ州
Acropolis	アクロポリス
Actinide	アクチノイド
Actinium	アクチニウム
Actor	俳優
Acts of the Apostles	使徒行伝
Acupuncture	鍼
Ad hominem	人身攻撃
Ada (programming language)	Ada
Adam	アダム
Adam Smith	アダム・スミス
Adana	アダナ
Adansonia	バオバブ
Addiction	依存症
Addis Ababa	アディスアベバ
Addition	加法
Adelaide	アデレード
Aden	アデン
Adenine	アデニン
Adenosine triphosphate	アデノシン三リン酸
Adiabatic process	断熱過程
Adige	アディジェ川
Adjective	形容詞
Admiral	海軍大将
Adolescence	青年期
Adolf Eichmann	アドルフ・アイヒマン
Adolf Hitler	アドルフ・ヒトラー
Adonis	アドーニス
Adoption	養子縁組
Adrenal gland	副腎
Adriatic Sea	アドリア海
Adsorption	吸着
Adult	大人
Advent	アドベント
Adverb	副詞
Advertising	広告
Aegean Sea	エーゲ海
Aeneas	アエネアス
Aeneid	アエネイス
Aeolus	アイオロス
Aerodynamics	空気力学
Aerosol	浮遊粉塵
Aeschylus	アイスキュロス
Aesop	アイソーポス
Aesthetics	美学
Affix	接辞
Afghanistan	アフガニスタン
Afghanistan	Category:アフガニスタン
Africa	アフリカ
